Race,Incumbent Win? Y/N,GovTrack ID,Party,Last Name,First Name,Middle Name,Suffix,Gender (M/F),Birthday (YYYY-MM-DD),FEC.gov ID,Wikidata ID,Twitter Handle,Found photo?
AL4,Y,,,,,,,,,,,,
AL5,Y,,,,,,,,,,,,
AL6,Y,,,,,,,,,,,,
AL7,Y,,,,,,,,,,,,
AR1,Y,,,,,,,,,,,,
AR2,Y,,,,,,,,,,,,
AR3,Y,,,,,,,,,,,,
AR4,Y,,,,,,,,,,,,
AS0,Y,,,,,,,,,,,,
AZ1,Y,,,,,,,,,,,,
AZ2,Y,,,,,,,,,,,,
AZ3,Y,,,,,,,,,,,,
AZ4,Y,,,,,,,,,,,,
AZ5,Y,,,,,,,,,,,,
AZ6,Y,,,,,,,,,,,,
AZ7,Y,,,,,,,,,,,,
AZ8,Y,,,,,,,,,,,,
AZ9,Y,,,,,,,,,,,,
CA1,Y,,,,,,,,,,,,
CA2,Y,,,,,,,,,,,,
CA3,Y,,,,,,,,,,,,
CA4,Y,,,,,,,,,,,,
CA5,Y,,,,,,,,,,,,
CA6,Y,,,,,,,,,,,,
CA7,Y,,,,,,,,,,,,
CA8,N,,R,Obernolte,Jay,Phillip,,M,1970-08-18,H0CA08135,Q16849797,@JayObernolte,
CA9,Y,,,,,,,,,,,,
CA10,Y,,,,,,,,,,,,
CA11,Y,,,,,,,,,,,,
CA12,Y,,,,,,,,,,,,
CA13,Y,,,,,,,,,,,,
CA14,Y,,,,,,,,,,,,
CA15,Y,,,,,,,,,,,,
CA16,Y,,,,,,,,,,,,
CA17,Y,,,,,,,,,,,,
CA18,Y,,,,,,,,,,,,
CA19,Y,,,,,,,,,,,,
CA20,Y,,,,,,,,,,,,
CA21,N,412515,R,Valadao,David,Goncalves,,M,1977-04-14,H2CA20094,Q3528567,DGValadao,
CA22,Y,,,,,,,,,,,,
CA23,Y,,,,,,,,,,,,
CA24,Y,,,,,,,,,,,,
CA25,Y,,,,,,,,,,,,
CA26,Y,,,,,,,,,,,,
CA27,Y,,,,,,,,,,,,
CA28,Y,,,,,,,,,,,,
CA29,Y,,,,,,,,,,,,
CA30,Y,,,,,,,,,,,,
CA31,Y,,,,,,,,,,,,
CA32,Y,,,,,,,,,,,,
CA33,Y,,,,,,,,,,,,
CA34,Y,,,,,,,,,,,,
CA35,Y,,,,,,,,,,,,
CA36,Y,,,,,,,,,,,,
CA37,Y,,,,,,,,,,,,
CA38,Y,,,,,,,,,,,,
CA39,N,,R,Kim,Young,Oak,,F,1962-10-18,H8CA39240,Q19662859,@YoungKimCA,
CA40,Y,,,,,,,,,,,,
CA41,Y,,,,,,,,,,,,
CA42,Y,,,,,,,,,,,,
CA43,Y,,,,,,,,,,,,
CA44,Y,,,,,,,,,,,,
CA45,Y,,,,,,,,,,,,
CA46,Y,,,,,,,,,,,,
CA47,Y,,,,,,,,,,,,
CA48,N,,R,Steel,Michelle,Eunjoo,,F,1955-06-21,H0CA48198,Q6837200,@MichelleSteelCA,
CA49,Y,,,,,,,,,,,,
CA50,N,400196,R,Issa,Darrell,Edward,,M,1953-11-01,H0CA50178,Q1166592,@DarrellIssa,
CA51,Y,,,,,,,,,,,,
CA52,Y,,,,,,,,,,,,
CA53,N,,D,Jacobs,Sara,,,F,1989-02-01,H0CA53115,Q50825637,@SaraJacobsCA,
CO1,Y,,,,,,,,,,,,
CO2,Y,,,,,,,,,,,,
CO3,N,,R,Boebert,Lauren,Opal,,F,1986-12-15,H0CO03165,Q96761544,@LaurenBoebert,
CO4,Y,,,,,,,,,,,,
CO5,Y,,,,,,,,,,,,
CO6,Y,,,,,,,,,,,,
CO7,Y,,,,,,,,,,,,
CT1,Y,,,,,,,,,,,,
CT2,Y,,,,,,,,,,,,
CT3,Y,,,,,,,,,,,,
CT4,Y,,,,,,,,,,,,
CT5,Y,,,,,,,,,,,,
DC0,Y,,,,,,,,,,,,
DE0,Y,,,,,,,,,,,,
FL1,Y,,,,,,,,,,,,
FL2,Y,,,,,,,,,,,,
