PREFIX,FIRST,MIDDLE,LAST,SUFFIX,ADDRESS,CITY,STATE,POSTAL CODE,113 ST/DIS,BIOGUIDE ID
The Honorable ,Bill,,Pascrell,Jr.,2370 Rayburn House Office Building,Washington,DC,20515-3008,NJ09,P000096
The Honorable ,Ed,,Pastor,,2465 Rayburn House Office Building,Washington,DC,20515-0304,AZ07,P000099
The Honorable ,Erik,,Paulsen,,127 Cannon House Office Building,Washington,DC,20515-2303,MN03,P000594
The Honorable ,Donald,M.,Payne,Jr.,103 Cannon House Office Building,Washington,DC,20515-3010,NJ10,P000604
The Honorable ,Stevan,,Pearce,,2432 Rayburn House Office Building,Washington,DC,20515-3102,NM02,P000588
The Honorable ,Nancy,,Pelosi,,235 Cannon House Office Building,Washington,DC,20515-0508,CA12,P000197
The Honorable ,Ed,,Perlmutter,,1410 Longworth House Office Building,Washington,DC,20515-0607,CO07,P000593
Representative-elect,Scott,,Perry,,126 Cannon House Office Building,Washington,DC,20515-5401,PA04,P000605
The Honorable ,Gary,C.,Peters,,1609 Longworth House Office Building,Washington,DC,20515-2209,MI14,P000595
Representative-elect,Scott,H.,Peters,,2410 Rayburn House Office Building,Washington,DC,20515-0504,CA52,P000608
The Honorable ,Collin,C.,Peterson,,2109 Rayburn House Office Building,Washington,DC,20515-2307,MN07,P000258
The Honorable ,Thomas,E.,Petri,,2462 Rayburn House Office Building,Washington,DC,20515-4906,WI06,P000265
The Honorable ,Pedro,R.,Pierluisi,,1213 Longworth House Office Building,Washington,DC,20515-5401,PR00,P000596
The Honorable ,Chellie,,Pingree,,1318 Longworth House Office Building,Washington,DC,20515-1901,ME01,P000597
Representative-elect,Robert,,Pittenger,,224 Cannon House Office Building,Washington,DC,20515-3815,NC09,P000606
The Honorable ,Joseph,R.,Pitts,,420 Cannon House Office Building,Washington,DC,20515-3816,PA16,P000373
Representative-elect,Mark,,Pocan,,313 Cannon House Office Building,Washington,DC,20515-0925,WI02,P000607
The Honorable ,Ted,,Poe,,2412 Rayburn House Office Building,Washington,DC,20515-4302,TX02,P000592
The Honorable ,Jared,,Polis,,1433 Longworth House Office Building,Washington,DC,20515-0602,CO02,P000598
The Honorable ,Mike,,Pompeo,,107 Cannon House Office Building,Washington,DC,20515-1604,KS04,P000602
The Honorable ,Bill,,Posey,,120 Cannon House Office Building,Washington,DC,20515-0915,FL08,P000599
The Honorable ,David,E.,Price,,2162 Rayburn House Office Building,Washington,DC,20515-3304,NC04,P000523
The Honorable ,Tom,,Price,,100 Cannon House Office Building,Washington,DC,20515-1006,GA06,P000591
The Honorable ,Mike,,Quigley,,1124 Longworth House Office Building,Washington,DC,20515-1305,IL05,Q000023
Representative-elect,Trey,,Radel,,1123 Longworth House Office Building,Washington,DC,20515-4601,FL19,R000596
The Honorable ,Nick,J.,Rahall,II,2307 Rayburn House Office Building,Washington,DC,20515-4803,WV03,R000011
The Honorable ,Charles,B.,Rangel,,2354 Rayburn House Office Building,Washington,DC,20515-3215,NY13,R000053
The Honorable ,Tom,,Reed,,1504 Longworth House Office Building,Washington,DC,20515-3229,NY23,R000585
The Honorable ,David,G.,Reichert,,1127 Longworth House Office Building,Washington,DC,20515-4708,WA08,R000578
The Honorable ,James,B.,Renacci,,130 Cannon House Office Building,Washington,DC,20515-3516,OH16,R000586
The Honorable ,Reid,J.,Ribble,,1513 Longworth House Office Building,Washington,DC,20515-4908,WI08,R000587
Representative-elect,Tom,,Rice,,325 Cannon House Office Building,Washington,DC,20515-4209,SC07,R000597
The Honorable ,Cedric,L.,Richmond,,240 Cannon House Office Building,Washington,DC,20515-1802,LA02,R000588
The Honorable ,E.,Scott,Rigell,,418 Cannon House Office Building,Washington,DC,20515-4602,VA02,R000589
The Honorable ,Martha,,Roby,,428 Cannon House Office Building,Washington,DC,20515-0102,AL02,R000591
The Honorable ,David,P.,Roe,,407 Cannon House Office Building,Washington,DC,20515-4201,TN01,R000582
The Honorable ,Harold,,Rogers,,2406 Rayburn House Office Building,Washington,DC,20515-1705,KY05,R000395
The Honorable ,Mike,,Rogers,,324 Cannon House Office Building,Washington,DC,20515-0103,AL03,R000575
The Honorable ,Mike,,Rogers,,2112 Rayburn House Office Building,Washington,DC,20515-2208,MI08,R000572
The Honorable ,Dana,,Rohrabacher,,2300 Rayburn House Office Building,Washington,DC,20515-0546,CA48,R000409
The Honorable ,Todd,,Rokita,,236 Cannon House Office Building,Washington,DC,20515-1404,IN04,R000592
The Honorable ,Thomas,J.,Rooney,,221 Cannon House Office Building,Washington,DC,20515-0916,FL17,R000583
The Honorable ,Peter,J.,Roskam,,227 Cannon House Office Building,Washington,DC,20515-1306,IL06,R000580
The Honorable ,Ileana,,Ros-Lehtinen,,2206 Rayburn House Office Building,Washington,DC,20515-0918,FL27,R000435
The Honorable ,Dennis,A.,Ross,,229 Cannon House Office Building,Washington,DC,20515-0912,FL15,R000593
Representative-elect,Keith,J.,Rothfus,,503 Cannon House Office Building,Washington,DC,20515-0518,PA12,R000598
The Honorable ,Lucille,,Roybal-Allard,,2330 Rayburn House Office Building,Washington,DC,20515-0534,CA40,R000486
The Honorable ,Edward,R.,Royce,,2185 Rayburn House Office Building,Washington,DC,20515-0540,CA39,R000487
Representative-elect,Raul,,Ruiz,,1319 Longworth House Office Building,Washington,DC,20515-1305,CA36,R000599
The Honorable ,Jon,,Runyan,,1239 Longworth House Office Building,Washington,DC,20515-3003,NJ03,R000594
The Honorable ,C.,A. Dutch,Ruppersberger,,2416 Rayburn House Office Building,Washington,DC,20515-2002,MD02,R000576
The Honorable ,Bobby,L.,Rush,,2268 Rayburn House Office Building,Washington,DC,20515-1301,IL01,R000515
The Honorable ,Paul,,Ryan,,1233 Longworth House Office Building,Washington,DC,20515-4901,WI01,R000570
The Honorable ,Tim,,Ryan,,1421 Longworth House Office Building,Washington,DC,20515-3517,OH13,R000577
The Honorable ,Gregorio,Kilili Camacho,Sablan,,423 Cannon House Office Building,Washington,DC,20515-5201,MP00,S001177
The Honorable ,Matt,,Salmon,,2349 Rayburn House Office Building,Washington,DC,20515-6601,AZ05,S000018
The Honorable ,Loretta,,Sanchez,,1114 Longworth House Office Building,Washington,DC,20515-0547,CA46,S000030
The Honorable ,Linda,T.,Sánchez,,2423 Rayburn House Office Building,Washington,DC,20515-0539,CA38,S001156
The Honorable ,John,P.,Sarbanes,,2444 Rayburn House Office Building,Washington,DC,20515-2003,MD03,S001168
The Honorable ,Steve,,Scalise,,2338 Rayburn House Office Building,Washington,DC,20515-1801,LA01,S001176
The Honorable ,Janice,D.,Schakowsky,,2367 Rayburn House Office Building,Washington,DC,20515-1309,IL09,S001145
The Honorable ,Adam,B.,Schiff,,2411 Rayburn House Office Building,Washington,DC,20515-0529,CA28,S001150
Representative-elect,Bradley,S.,Schneider,,317 Cannon House Office Building,Washington,DC,20515-3602,IL10,S001190
The Honorable ,Aaron,,Schock,,328 Cannon House Office Building,Washington,DC,20515-1318,IL18,S001179
The Honorable ,Kurt,,Schrader,,108 Cannon House Office Building,Washington,DC,20515-3705,OR05,S001180
The Honorable ,Allyson,Y.,Schwartz,,1227 Longworth House Office Building,Washington,DC,20515-3813,PA13,S001162
The Honorable ,David,,Schweikert,,1205 Longworth House Office Building,Washington,DC,20515-0305,AZ06,S001183
The Honorable ,Austin,,Scott,,516 Cannon House Office Building,Washington,DC,20515-1003,GA08,S001189
The Honorable ,David,,Scott,,225 Cannon House Office Building,Washington,DC,20515-1013,GA13,S001157
The Honorable ,Robert,C. “Bobby”,Scott,,1201 Longworth House Office Building,Washington,DC,20515-4603,VA03,S000185
The Honorable ,Tim,,Scott,,322 Cannon House Office Building,Washington,DC,20515-4001,SC01,S001184
The Honorable ,F.,James,Sensenbrenner,Jr.,2449 Rayburn House Office Building,Washington,DC,20515-4905,WI05,S000244
The Honorable ,José,E.,Serrano,,2227 Rayburn House Office Building,Washington,DC,20515-3216,NY15,S000248
The Honorable ,Pete,,Sessions,,2233 Rayburn House Office Building,Washington,DC,20515-4332,TX32,S000250
The Honorable ,Terri,A.,Sewell,,1133 Longworth House Office Building,Washington,DC,20515-0107,AL07,S001185
The Honorable ,Carol,,Shea-Porter,,1530 Longworth House Office Building,Washington,DC,20515-2901,NH01,S001170
The Honorable ,Brad,,Sherman,,2242 Rayburn House Office Building,Washington,DC,20515-0527,CA30,S000344
The Honorable ,John,,Shimkus,,2452 Rayburn House Office Building,Washington,DC,20515-1319,IL15,S000364
The Honorable ,Bill,,Shuster,,2209 Rayburn House Office Building,Washington,DC,20515-3809,PA09,S001154
The Honorable ,Michael,K.,Simpson,,2312 Rayburn House Office Building,Washington,DC,20515-1202,ID02,S001148
Representative-elect,Kyrsten,,Sinema,,1237 Longworth House Office Building,Washington,DC,20515-0302,AZ09,S001191
The Honorable ,Albio,,Sires,,2342 Rayburn House Office Building,Washington,DC,20515-3013,NJ08,S001165
The Honorable ,Louise,McIntosh,Slaughter,,2469 Rayburn House Office Building,Washington,DC,20515-3228,NY25,S000480
